448) Scaler: MinMax, classifier: SGD-sei-l2--4, mean: 0.24238359658275158, class wrong: [490, 77, 144, 54]
1069) Scaler: Standard, classifier: SGD-sl-n--6, mean: 0.24247243512445493, class wrong: [362, 180, 129, 47]
761) Scaler: Robust, classifier: SGD-sl-l2--6, mean: 0.24249661632060499, class wrong: [502, 193, 97, 25]
748) Scaler: Robust, classifier: SGD-sei-l2--4, mean: 0.24324302568648798, class wrong: [525, 168, 103, 46]
1066) Scaler: Standard, classifier: SGD-hu-e--6, mean: 0.2438366779183041, class wrong: [513, 133, 120, 37]
1370) Scaler: None, classifier: SGD-hu-n--6, mean: 0.24385969823299675, class wrong: [621, 83, 89, 42]
1064) Scaler: Standard, classifier: SGD-sei-l2--6, mean: 0.2439295940301085, class wrong: [465, 160, 94, 43]
1067) Scaler: Standard, classifier: SGD-ei-e--6, mean: 0.24406382639011975, class wrong: [509, 175, 112, 41]
156) Scaler: MaxAbs, classifier: SGD-sei-n--4, mean: 0.2444197575053336, class wrong: [501, 195, 146, 8]
468) Scaler: MinMax, classifier: SGD-sei-e--6, mean: 0.2445719355149226, class wrong: [617, 195, 8, 49]
784) Scaler: Robust, classifier: SGD-sei-e--2, mean: 0.2445884094112607, class wrong: [634, 99, 139, 39]
769) Scaler: Robust, classifier: SGD-sl-n--6, mean: 0.24538122892738118, class wrong: [329, 165, 107, 54]
1044) Scaler: Standard, classifier: SGD-sei-l1--4, mean: 0.24602300830488932, class wrong: [479, 157, 105, 38]
1049) Scaler: Standard, classifier: SGD-sl-e--4, mean: 0.24643285249514238, class wrong: [528, 84, 97, 27]
1053) Scaler: Standard, classifier: SGD-sl-n--4, mean: 0.2470045229733472, class wrong: [496, 152, 99, 42]
472) Scaler: MinMax, classifier: SGD-sei-n--6, mean: 0.24756965149140026, class wrong: [593, 91, 146, 36]
1048) Scaler: Standard, classifier: SGD-sei-l2--4, mean: 0.24795564481409627, class wrong: [481, 110, 78, 41]
1093) Scaler: Standard, classifier: SGD-sl-l2--1, mean: 0.24868316729080314, class wrong: [601, 99, 140, 33]
765) Scaler: Robust, classifier: SGD-sl-e--6, mean: 0.24886875715942397, class wrong: [566, 95, 92, 53]
792) Scaler: Robust, classifier: SGD-sei-l1--1, mean: 0.2494145736891112, class wrong: [345, 116, 146, 44]
1052) Scaler: Standard, classifier: SGD-sei-e--4, mean: 0.25037511738444773, class wrong: [421, 189, 109, 24]
171) Scaler: MaxAbs, classifier: SGD-ei-n--6, mean: 0.2508235648215177, class wrong: [640, 153, 30, 54]
1345) Scaler: None, classifier: SGD-sl-l2--4, mean: 0.25086088788836797, class wrong: [544, 176, 132, 49]
476) Scaler: MinMax, classifier: SGD-sei-l1--2, mean: 0.250973394568502, class wrong: [370, 185, 146, 26]
452) Scaler: MinMax, classifier: SGD-sei-e--4, mean: 0.25117906320047845, class wrong: [527, 195, 34, 34]
181) Scaler: MaxAbs, classifier: SGD-sl-e--2, mean: 0.25175772898959703, class wrong: [638, 122, 85, 45]
493) Scaler: MinMax, classifier: SGD-sl-l2--1, mean: 0.25192370670742537, class wrong: [371, 195, 144, 29]
789) Scaler: Robust, classifier: SGD-sl-l1--1, mean: 0.25237013524045027, class wrong: [626, 99, 76, 50]
1051) Scaler: Standard, classifier: SGD-ei-e--4, mean: 0.252492064498798, class wrong: [412, 182, 113, 40]
777) Scaler: Robust, classifier: SGD-sl-l2--2, mean: 0.25291716109140183, class wrong: [503, 170, 136, 34]
473) Scaler: MinMax, classifier: SGD-sl-l1--2, mean: 0.25308212984092476, class wrong: [395, 192, 65, 54]
1059) Scaler: Standard, classifier: SGD-ei-l1--6, mean: 0.25365018488727387, class wrong: [454, 192, 119, 44]
1097) Scaler: Standard, classifier: SGD-sl-e--1, mean: 0.25376016164708026, class wrong: [531, 121, 89, 53]
189) Scaler: MaxAbs, classifier: SGD-sl-l1--1, mean: 0.25462090880315247, class wrong: [460, 121, 132, 33]
1387) Scaler: None, classifier: SGD-ei-n--2, mean: 0.25465052732901555, class wrong: [640, 170, 1, 54]
501) Scaler: MinMax, classifier: SGD-sl-n--1, mean: 0.2549406607334766, class wrong: [503, 122, 119, 36]
147) Scaler: MaxAbs, classifier: SGD-ei-l2--4, mean: 0.2551513050949618, class wrong: [395, 185, 62, 54]
781) Scaler: Robust, classifier: SGD-sl-e--2, mean: 0.2551696356232138, class wrong: [616, 158, 78, 42]
1120) Scaler: Standard, classifier: SGD-sei-n-0, mean: 0.2552100548151271, class wrong: [456, 114, 146, 32]
1089) Scaler: Standard, classifier: SGD-sl-l1--1, mean: 0.25521226633525707, class wrong: [627, 92, 94, 39]
1353) Scaler: None, classifier: SGD-sl-n--4, mean: 0.25585862428274847, class wrong: [523, 131, 111, 54]
756) Scaler: Robust, classifier: SGD-sei-n--4, mean: 0.25615790586710363, class wrong: [399, 177, 95, 40]
816) Scaler: Robust, classifier: SGD-sei-e-0, mean: 0.256870107500563, class wrong: [501, 153, 103, 36]
776) Scaler: Robust, classifier: SGD-sei-l1--2, mean: 0.2570411046290331, class wrong: [623, 154, 103, 34]
1065) Scaler: Standard, classifier: SGD-sl-e--6, mean: 0.2570917561134619, class wrong: [559, 171, 89, 44]
1436) Scaler: None, classifier: SGD-sei-n-1, mean: 0.2573428696578888, class wrong: [519, 114, 146, 20]
216) Scaler: MaxAbs, classifier: SGD-sei-e-0, mean: 0.2576289396123165, class wrong: [593, 195, 41, 42]
744) Scaler: Robust, classifier: SGD-sei-l1--4, mean: 0.25769230066734344, class wrong: [467, 129, 142, 38]
766) Scaler: Robust, classifier: SGD-hu-e--6, mean: 0.25882839005040104, class wrong: [577, 125, 118, 39]
220) Scaler: MaxAbs, classifier: SGD-sei-n-0, mean: 0.2588766259068907, class wrong: [547, 172, 91, 47]
1384) Scaler: None, classifier: SGD-sei-e--2, mean: 0.2588861269257663, class wrong: [481, 186, 141, 43]
1359) Scaler: None, classifier: SGD-ei-l1--6, mean: 0.25914744987855076, class wrong: [300, 195, 84, 54]
1445) Scaler: None, classifier: SGD-sl-e-2, mean: 0.26015889317216223, class wrong: [638, 24, 138, 49]
1409) Scaler: None, classifier: SGD-sl-l2-0, mean: 0.26077428973542444, class wrong: [640, 158, 144, 4]
145) Scaler: MaxAbs, classifier: SGD-sl-l2--4, mean: 0.26124839020713897, class wrong: [640, 139, 146, 5]
804) Scaler: Robust, classifier: SGD-sei-n--1, mean: 0.2613729221882223, class wrong: [444, 115, 104, 46]
1421) Scaler: None, classifier: SGD-sl-l1-1, mean: 0.2614358258865512, class wrong: [625, 171, 72, 54]
747) Scaler: Robust, classifier: SGD-ei-l2--4, mean: 0.2616066521212377, class wrong: [473, 112, 88, 48]
1047) Scaler: Standard, classifier: SGD-ei-l2--4, mean: 0.261772294708652, class wrong: [529, 113, 114, 41]
504) Scaler: MinMax, classifier: SGD-sei-n--1, mean: 0.26223868435131736, class wrong: [578, 154, 84, 50]
1373) Scaler: None, classifier: SGD-sl-l1--2, mean: 0.2625450137573101, class wrong: [219, 137, 144, 54]
757) Scaler: Robust, classifier: SGD-sl-l1--6, mean: 0.26258123814960177, class wrong: [426, 155, 106, 48]
201) Scaler: MaxAbs, classifier: SGD-sl-n--1, mean: 0.26265766775723337, class wrong: [427, 161, 107, 54]
773) Scaler: Robust, classifier: SGD-sl-l1--2, mean: 0.2628451210506009, class wrong: [447, 188, 88, 32]
793) Scaler: Robust, classifier: SGD-sl-l2--1, mean: 0.2633802093402774, class wrong: [543, 129, 127, 38]
512) Scaler: MinMax, classifier: SGD-sei-l2-0, mean: 0.2634811820694357, class wrong: [621, 91, 121, 54]
453) Scaler: MinMax, classifier: SGD-sl-n--4, mean: 0.2644793079812878, class wrong: [609, 195, 75, 42]
1063) Scaler: Standard, classifier: SGD-ei-l2--6, mean: 0.2645522307888447, class wrong: [455, 129, 115, 41]
